"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
28,"nj","高淳","https://nj.lianjia.com/chengjiao/103102211012.html","都市公社","1室1厅","23.6平米","北","其他","无电梯","中楼层(共6层)","2004年建板楼","2018.04.11","16102","38","None","None","距2号线下马坊240米"
29,"nj","高淳","https://nj.lianjia.com/chengjiao/103102097593.html","都市山庄","1室1厅","42.23平米","南","其他","无电梯","高楼层(共7层)","2000年建板楼","2018.03.28","29553","124.8","房屋满五年","None","距2号线下马坊471米"
30,"nj","高淳","https://nj.lianjia.com/chengjiao/103101884172.html","都市山庄","1室1厅","43.67平米","南","其他","无电梯","中楼层(共7层)","2000年建板楼","2018.03.27","31143","136","房屋满五年","None","None"
31,"nj","高淳","https://nj.lianjia.com/chengjiao/103101941895.html","龙湖文馨苑","2室2厅","96平米","南 北","其他","有电梯","中楼层(共11层)","2007年建板楼","2018.01.04","26073","250.3","房屋满五年","None","None"
32,"nj","高淳","https://nj.lianjia.com/chengjiao/103101556871.html","龙湖文馨苑","2室1厅","97.55平米","南","其他","有电梯","中楼层(共8层)","2007年建板塔结合","2018.01.03","25239","246.2","房屋满两年","None","None"
33,"nj","高淳","https://nj.lianjia.com/chengjiao/103101638682.html","龙湖文馨苑","1室1厅","40.78平米","南","其他","无电梯","低楼层(共6层)","2007年建板塔结合","2017.10.17","29549","120.5","房屋满两年","None","None"
34,"nj","高淳","https://nj.lianjia.com/chengjiao/103101964132.html","双乐园小区","2室1厅","85.57平米","南 北","精装","无电梯","中楼层(共7层)","1997年建板楼","2017.12.12","31320","268","房屋满两年","None","距1号线三山街762米"
35,"nj","高淳","https://nj.lianjia.com/chengjiao/103101533877.html","双拜巷教师公寓","2室1厅","75.2平米","南 北","其他","无电梯","高楼层(共7层)","2000年建板楼","2017.11.19","23671","178","房屋满两年","None","None"
36,"nj","高淳","https://nj.lianjia.com/chengjiao/103101861516.html","万达紫金明珠","2室2厅","84.88平米","南 北","其他","有电梯","中楼层(共9层)","2005年建板楼","2018.04.25","26956","228.8","房屋满五年","None","None"
37,"nj","高淳","https://nj.lianjia.com/chengjiao/103102296412.html","万达紫金明珠","2室2厅","84.88平米","南 北","其他","有电梯","高楼层(共9层)","2005年建板楼","2018.04.24","28629","243","房屋满五年","None","None"
38,"nj","高淳","https://nj.lianjia.com/chengjiao/103102312750.html","万达紫金明珠","3室2厅","107.9平米","南 北","其他","有电梯","低楼层(共9层)","2005年建板楼","2018.04.21","26599","287","房屋满五年","None","None"
39,"nj","高淳","https://nj.lianjia.com/chengjiao/103100421749.html","裕华名居","3室2厅","126.99平米","东 南","精装","有电梯","高楼层(共19层)","2000年建板楼","2016.10.08","29530","375","None","None","None"
40,"nj","高淳","https://nj.lianjia.com/chengjiao/103100189501.html","裕华名居","3室2厅","114.64平米","南 北","精装","有电梯","中楼层(共11层)","2000年建板楼","2016.07.25","33846","388","房屋满五年","None","距2号线云锦路1089米"
